question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
What is the official due date for Homework #9 as listed in the Lecture 10 administrative reminders?,"July 10, 2026 @ 11:59pm EST","July 24, 2026 @ 11:59pm EST","July 31, 2026 @ 11:59pm EST","August 7, 2026 @ 11:59pm EST","June 27, 2026 @ 11:10am EST",B,"According to Slide 50 ('What To Work On This Week'), Homework #9 is due on 7/24 @ 11:59pm EST."
Which platform are students specifically instructed to use for Homework #9 as noted in the Lecture 10 reminders?,Local Jupyter Notebook environments,Databricks Community Edition,Google Colab,Amazon SageMaker Studio,Docker Desktop Containers,C,Slide 50 ('What To Work On This Week') explicitly notes: 'Use Google Colab for this week’s homework!'
What is the assigned reading or viewing task for Week 10 as specified in the Lecture 10 slides?,Read Chapters 4 and 5 of FoDE,Read Chapters 6 and 7 of FoDE,Read Chapter 8 of FoDE,Watch a 15-minute video overview of Delta Live Tables (DLT),Watch the Apache Airflow installation tutorial,D,Slide 50 lists the Assigned 'Reading' as: 'Watch the video (15 minutes) at https://www.databricks.com/resources/demos/videos/data-engineering/delta-live-tables-overview'.
What is the strict policy regarding late submissions for SEAS 8515 assignments re-emphasized in Lecture 10?,Late submissions are allowed up to 3 days with a 10% penalty per day.,No late submissions are accepted under any circumstances; all late submissions receive a grade of 0.,Late submissions are accepted for half credit (50% penalty).,Students have a standard 24-hour grace period with no penalty.,Late homework is accepted only with an approved dean's excuse.,B,"Slide 50 re-emphasizes the standard course policy: 'No late submissions accepted', which results in a grade of 0 as established in syllabus and administrative notes."
"According to Lecture 10 slides, how does Apache Kafka store streams of events?",As relational database tables with clustered B-tree indices,"As an ordered, append-only log for short-term retention and real-time processing",As distributed schema-enforced parquet folders in cloud object storage,As immutable RDD partitions inside Spark executor JVM heap memory,As key-value pairs stored in a centralized Redis cache cluster,B,"Slide 76 ('Kafka') states: 'Apache Kafka stores streams of events as an ordered, append-only log for short-term retention and real-time processing.'"
Which of the following is a primary architectural design constraint of Apache Kafka as defined in Lecture 10?,It is a relational database designed for analytical OLAP warehousing.,It is designed for real-time streaming data pipelines and is NOT a database.,It is a serverless document store optimized for ACID updates.,It is an in-memory cache layer meant to replace Spark sessions.,It is an orchestrator designed to compile Python scripts into DAG plans.,B,Slide 76 ('Kafka') explicitly states: 'It is not a database. Kafka is designed for streaming data pipelines...'
Which set of qualities is listed in Lecture 10 as key advantages of utilizing Apache Kafka?,"Compile-time validation, automatic indexing, and SQL constraint checking","In-memory caching, low-code dashboarding, and Git-integrated metadata","High throughput, horizontal scalability, durability/reliability, low latency, and streaming flexibility","Database virtualization, schema evolution, and time-travel rollback support","Declarative data modeling, built-in ML transformers, and Git repo tracking",C,"Slide 77 lists the advantages of using Kafka as: High Throughput, Scalability, Durability and Reliability, Low Latency, and Flexibility in Data Streams."
"In the context of Apache Kafka, what splits a topic to achieve horizontal scalability and parallel processing?",An operator,A hook,A partition,A task,An executor,C,"Under Kafka concepts on Slide 76, a Partition: 'Splits a topic for scalability and parallel processing.'"
How does Apache Kafka ensure event durability and reliability to prevent data loss?,By storing data on disk and replicating it within the cluster to withstand node failures,By replicating data directly inside the driver node's memory space,By converting streams to managed tables inside Hive Metastore,By running automated cron-backups to local JSON files,By blocking write operations until a consumer group acknowledges receipt,A,"Slide 77 states: 'Kafka stores data on disk and replicates within the cluster to prevent data loss. It uses a distributed commit log, ensuring messages are not lost and can withstand node failures.'"
"When configuring a Spark Structured Streaming application to read from Kafka, what format must be specified in `.format()`?","""parquet""","""delta""","""kafka""","""socket""","""stream""",C,"Slide 77 ('Reading from Kafka') shows the python syntax explicitly using `.format(""kafka"")`."
