question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
"According to the Lecture 12 slides, what is the due date and time for the final homework assignment in SEAS 8515?","August 15, 2026, at 11:59pm EST","July 24, 2026, at 11:59pm EST","August 1, 2026, at 11:59pm EST","August 10, 2026, at 11:59pm EST","August 7, 2026, at 11:59pm EST",E,Slide 'Admin Items' explicitly states: 'The last homework is due 8/7 @ 11:59pm EST'.
"Under the administrative policies listed in Lecture 12, what grade penalty is applied to any late submissions of assignments?",A grade reduction of one full letter grade (10 percentage points),A flat 25% penalty if submitted within 24 hours of the deadline,Late submissions are not accepted and receive a grade of 0,A 50% penalty with submission permitted up to the final exam date,A 10% deduction per day up to 5 days,C,Slide 'Admin Notes' explicitly states: 'All late submissions will receive a grade of 0' and 'No late submissions accepted'.
Which of the following describes the correct scope and material coverage of the proctored final exam for SEAS 8515?,The final exam is entirely hands-on and covers programming topics exclusively from Weeks 8-12,"Material is cumulative across all Weeks 1-13, with equal weight across all lecture topics","Only material from Weeks 6-12 is included on the final exam, with Weeks 1-5 entirely excluded","Material from Weeks 1-12 will be on the final, with an analytical focus on Weeks 6-12, while Week 13 material is excluded","Only Weeks 1-5 are tested, matching the format and content scope of the proctored midterm",D,Slide 'Admin Items' states: 'The material from today is the last of the material that can be on the final. Week 13 lecture material will not be on the final. Material from the final will come from weeks 1-12.'
"According to the class welcome slides, what is the university's strict policy regarding the recorded sessions of the online lectures?",Students are encouraged to share lecture recordings publicly on study forums to help peers,Recordings can be posted on personal GitHub repositories as supporting material for portfolio assignments,Only clips shorter than 5 minutes may be shared or redistributed on social media,Students may distribute recordings provided that they obtain written consent from the proctoring service,Releasing or distributing these class recordings is strictly prohibited as they are for the private use of registered students,E,"The class intro slide states: 'As part of the educational support for students, we provide downloadable recordings of each class session to be used exclusively by registered students in that particular class for their own private use. Releasing these recordings is strictly prohibited.'"
What is the technical definition of 'Containerization' as presented in Lecture 12?,An orchestration standard for splitting high-performance SQL tables into isolated cluster nodes,The compile-time compilation of dynamically typed Python scripts into dynamic C++ shared libraries,A network routing scheme that encapsulates TCP/IP packets into secure SSH tunnels,"The process of packaging an application with all its dependencies into a single, portable unit (a container)",The division of a database into multiple isolated tabular shards to enable distributed query execution,D,"Slide 'Containerization Defined' states: 'Containerization is the process of packaging an application with all its dependencies into a single, portable unit (a container).'"
Which of the following correctly lists the standard items bundled inside a single portable container unit?,"Only the compiled application binaries and configuration files, excluding external runtime engines","A full guest operating system, virtual hypervisor interfaces, and dedicated hardware kernel drivers","Application code, runtime (e.g., Python, Java), libraries/dependencies, and system tools/configurations","The Apache Spark driver, dynamic Scala source files, and a local instance of the Hive Metastore database","Docker Desktop GUI files, local volume backup archives, and system-level host OS registry keys",C,"Slide 'Containerization Defined' states that inside a container you find: 'Application code', 'Runtime (e.g., Python, Java)', 'Libraries and dependencies', and 'System tools and configurations'."
What is the primary guiding philosophy or 'key idea' that drives the adoption of containerization in modern data pipelines?,"""Fail fast, recover faster"" by duplicating identical driver processes across VM clusters","""Optimize SQL, bypass Python"" to eliminate the performance bottlenecks of the JVM environment","""Build once, run anywhere"" to guarantee absolute consistency across development, testing, and production","""Minimize storage, maximize speed"" by converting all text files into lightweight Parquet columns","""Compute locally, aggregate globally"" to preserve edge computing bandwidth on Kubernetes pods",C,"Slide 'Containerization Defined' notes: 'The Key Idea: ""Build once, run anywhere""' and that it 'Ensures consistent behavior across: Development -> Testing -> Production'."
Which major software deployment issue does containerization directly solve by standardizing the execution environment?,"The ""Network partition"" problem, where cluster nodes fail to synchronize their commit logs","The ""Works on my machine"" problem, where different environments cause inconsistent pipeline behavior","The ""Dirty read"" transaction problem, where uncommitted data is read by concurrent queries","The ""Out of memory"" JVM heap error, where Spark executors exhaust available executor cores","The ""Schema drift"" problem, where raw files do not match the expected structural target table grain",B,"Slide 'Containerization Defined' highlights that containerization exists because it: 'Eliminates environment inconsistencies: ""Works on my machine"" problem'."
How do Containers compare to Virtual Machines (VMs) regarding system isolation and operating system requirements?,"Containers have high OS requirements because each has its own operating system, whereas VMs share a single host OS","Containers require a dedicated hypervisor like VirtualBox, whereas VMs run directly as lightweight processes on the host OS","Containers provide process-level isolation and share the host OS, whereas VMs provide full OS-level isolation with separate guest OSs","Containers isolate at the database schema level, whereas VMs isolate at the hardware hypervisor level","Containers provide full OS-level isolation with separate kernels, whereas VMs share the host machine's OS kernel",C,The comparison table in 'Containers vs. Virtual Machines' shows: Isolation is 'Process-level' for Containers and 'Full OS-level' for VMs. OS Requirement is 'Share host OS' for Containers and 'Each VM has its own OS' for VMs.
Which of the following correctly contrasts containers and virtual machines (VMs) in terms of size and startup times?,"Containers and VMs have identical size footprints and start in seconds, differing only in process-level thread counts","Containers have higher resource usage overhead, whereas VMs have highly efficient resource usage","Containers are heavy (measured in GBs) and start in minutes, while VMs are lightweight (measured in MBs) and start in seconds","Containers are lightweight (measured in MBs) and start in seconds, while VMs are heavy (measured in GBs) and start in minutes","Containers are heavy and start in seconds, while VMs are lightweight and start in minutes",D,The 'Containers vs. Virtual Machines' table states: Size is 'Lightweight (MBs)' for Containers vs 'Heavy (GBs)' for VMs; Startup Time is 'Seconds' for Containers vs 'Minutes' for VMs.
